age,gender,eye_cream,exfoliator,peptide,cleansing_oil,sun_cream,cream,cleanser,face_mask,sunscreen,bath_salts,body_wash,ha,mask,toner,mist,body_lotion,gel,moisturizer,hair,serum,cluster,user_id
18.0,0,0,0,0,0,0,4,24,0,0,0,0,0,0,0,5,52,0,17,49,1,3,835e63c5-ed3c-4efe-93ee-a276a020acf7
49.0,1,0,16,0,0,0,12,1,0,0,13,0,0,8,0,0,31,0,0,27,0,4,ca8676da-6368-4aa1-a23d-1403a4fb08bb
21.0,1,0,13,0,0,20,0,0,19,0,0,21,0,15,0,0,2,0,0,22,1,4,19a12212-fe60-4418-9016-cbc4b871724f
42.0,1,0,2,0,0,0,0,35,0,0,0,0,0,0,0,9,47,0,0,27,30,4,cb9b456f-a9dc-49b9-bd02-236c0505e9fa
30.0,1,0,0,0,0,6,0,0,0,0,17,10,0,0,0,22,39,5,19,9,0,4,9b2bb170-3627-435d-9da5-a2643a83051e
36.0,1,0,35,0,0,0,0,0,0,0,0,12,0,0,0,0,75,0,19,2,6,4,a639d3ff-230e-4750-b5d5-e47d6a3462e9
21.0,0,0,0,0,0,0,0,6,0,0,0,18,0,0,0,0,27,0,19,57,13,3,af797c34-59f5-4356-863f-dffad55734ef
20.0,1,0,19,0,15,0,35,0,0,0,0,31,0,9,0,0,16,0,0,18,0,4,468eb684-5e3f-49df-accb-2cc58854416d
65.0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,40,21,34,9,28,0,c2c14a4c-21fe-4584-a8d9-8176ffc8aa1f
24.0,0,0,18,0,0,0,14,9,0,0,0,7,10,0,0,0,10,8,3,14,20,3,e2e8c800-76ef-4887-8cd3-2787101ae519
48.0,0,0,8,0,0,0,15,17,0,0,0,0,3,12,0,23,19,0,8,38,1,3,31797431-8652-4adf-943a-5f15fb6c4e8b
31.0,1,0,23,0,0,0,4,18,19,3,0,5,0,0,0,14,9,0,0,44,0,2,f69e45ba-de1c-47af-94da-f3df4fc5f251
49.0,1,0,3,0,0,0,16,0,0,0,0,42,1,18,0,0,18,0,16,4,0,4,af663fec-4bfe-4c19-8bcb-dd6b64fc0201
24.0,1,0,0,0,0,0,0,0,0,0,43,17,0,0,0,0,13,0,22,24,23,4,5de97ebe-c172-40e0-bbef-11f23260cfe8
50.0,1,0,15,0,0,0,0,35,0,0,0,13,0,0,0,0,27,14,11,26,36,4,1b61c6c3-d2a3-4148-9abe-3d634169cbd7
27.0,1,0,19,0,0,0,0,18,0,19,0,7,0,0,0,8,35,0,0,44,0,4,0c035564-3de6-45a2-867a-883258e3096b
29.0,1,0,44,0,0,0,14,0,0,0,0,2,0,9,0,0,33,17,3,18,30,4,d10ece89-0c86-4c10-9454-20eacdd6cd4f
31.0,1,43,12,0,0,0,6,18,0,0,0,8,0,0,0,0,14,11,0,38,0,4,1c3fab09-7d80-4a70-b41b-a4bf9c0e94ff
33.0,0,0,17,0,0,14,0,0,0,12,0,46,0,0,0,6,0,0,4,37,0,3,3bd5cc09-adca-4f4b-96c1-f2c8ecbf956f
49.0,1,0,0,0,0,0,0,9,15,0,0,41,7,0,0,0,0,0,54,15,5,4,c445a37a-2470-45e0-8a2e-890de70ba725
31.0,1,0,0,0,0,0,0,3,0,0,0,34,0,0,0,19,39,0,0,16,37,4,e4d56ff2-fe59-4b5c-a284-b4b2100632ad
59.0,0,0,0,0,0,0,0,5,0,0,0,25,0,0,0,0,21,29,16,19,32,1,093ad7bf-b1fd-4f09-80a6-4f49d764cf55
50.0,1,0,1,0,0,0,18,10,0,0,0,8,0,0,0,0,42,0,51,13,18,4,e8ea6341-0d63-4f0e-90e4-803b04a882f2
47.0,0,0,15,0,0,0,14,0,30,0,0,0,0,0,0,11,62,0,19,22,0,3,9e148877-8bab-4835-bc0b-af16ce5e69e4
35.0,1,0,12,0,0,0,8,0,0,0,9,32,0,0,0,11,66,0,5,5,0,4,cf29b40c-9741-47d6-a781-6d451d40bfc2
51.0,1,0,0,0,0,4,21,0,0,0,0,0,0,0,0,16,42,0,3,15,17,0,aa455ecf-5f8c-4523-8c19-31953911e11b
69.0,0,13,20,0,0,0,0,0,8,0,0,0,0,1,0,0,14,0,15,23,7,1,95041d6d-7b33-41c7-8b98-577efce0b5ca
64.0,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,0,34,0,49,7,37,1,406814c4-0655-416f-9a72-6e3250079b18
22.0,1,0,0,0,0,0,3,0,0,0,0,43,11,16,0,8,30,0,17,20,0,4,88b027ee-0985-436f-a45e-363c550be258
27.0,1,0,33,0,0,14,26,0,0,0,0,0,0,0,0,0,88,0,1,29,0,4,d51f6470-6998-407b-8c15-d5d12ff1bf3f
54.0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,43,18,18,31,0,0,23389117-15eb-4439-813b-3d4b96cf8bfc
60.0,1,0,28,0,0,0,16,0,0,0,0,0,0,0,0,0,10,0,18,79,15,2,478d1674-1296-4c14-9975-d4b6c264d353
21.0,1,0,0,0,2,0,19,0,0,0,0,33,15,14,0,0,36,14,0,0,19,4,a4930b22-a381-4dcf-a3df-49174ca4bde9
32.0,1,0,0,0,0,0,17,0,0,0,0,15,0,12,0,0,61,0,0,12,0,4,fd219633-e987-440d-9efe-2b702def767c
21.0,1,0,8,0,0,0,0,0,7,0,0,31,0,0,0,42,14,9,26,33,0,4,99014144-ae5d-4947-88a6-d44a8aa8381b
19.0,1,0,20,0,0,0,0,0,0,11,15,16,0,0,0,10,48,16,0,6,15,4,6d6d3484-dfe3-4137-b1a2-87871ae76605
43.0,0,0,27,0,0,0,0,0,0,0,0,11,0,0,0,8,20,0,20,73,0,3,018f4dfc-c6e4-4b24-99da-9e3519f6be84
32.0,0,0,28,0,0,0,18,0,0,16,0,9,0,10,0,0,16,0,46,25,14,3,35c170c0-2e9f-4f34-9ef8-cbb43cd02271
48.0,0,0,30,0,0,0,0,0,0,0,0,29,0,17,0,0,15,0,21,29,0,3,5dd26bc8-7e64-477c-a13b-a767201c6092
37.0,0,0,0,0,0,0,0,0,0,9,0,24,0,3,0,0,2,19,4,43,18,3,cd69bbf1-8341-48ab-af29-2431d160cb4b
19.0,0,0,9,0,0,0,6,0,18,0,0,0,0,0,7,0,5,19,10,65,0,3,a4b6401f-ef84-4d15-b300-55411073cbcb
30.0,1,0,28,0,0,0,15,0,18,0,0,0,0,9,0,0,1,0,0,99,1,2,5bb3c22b-ce8e-4bda-9796-caeed6718c88
54.0,1,0,10,0,0,0,32,0,0,0,0,32,0,17,0,21,16,0,12,24,16,0,eaece648-8baf-46a7-a91c-1d74185c1d34
45.0,1,0,16,0,0,0,4,0,7,0,3,19,0,0,0,3,0,0,0,54,13,2,274bf11c-5e78-4652-bfac-2da04f2fb88d
67.0,0,0,0,0,0,13,0,20,0,0,0,19,0,0,0,9,0,19,0,15,42,1,fcc12de8-f997-41ea-be8e-d52e4d8ab399
35.0,1,0,0,0,0,0,0,0,0,0,0,37,14,8,17,18,0,0,11,17,19,4,dab7574a-19e3-48a4-9e1b-c819b1aedaaf
58.0,1,0,4,0,0,0,12,0,19,0,0,0,0,0,0,0,7,0,13,58,13,2,e0c3968c-8cff-4722-912b-2efc5dce4203
24.0,1,0,13,0,0,26,0,0,19,0,0,4,0,2,0,0,36,0,0,58,5,2,eb1dfe5d-135d-4067-80d5-08e07bdbd275
37.0,0,0,17,0,0,0,19,24,0,0,0,25,0,0,0,0,46,0,2,2,0,3,f7cc59e2-959f-4ebd-bb8d-6628dbd7ad6e
22.0,0,0,16,0,0,0,0,12,0,0,0,49,0,0,0,0,22,0,12,0,42,3,b0ba3b3a-051c-463f-8929-76c7d226e362
35.0,1,0,11,0,0,0,16,8,0,0,0,21,11,11,0,0,51,0,24,0,23,4,178d4bf1-f4ce-4e3c-8c69-a354ff333bf7
20.0,0,0,19,0,0,0,0,0,0,2,19,0,0,16,0,0,30,0,0,66,1,3,63d7dff6-68e6-4854-b37c-c8ee59e475fa
35.0,0,0,10,0,6,16,14,3,0,0,0,0,0,0,0,6,0,0,26,56,4,3,46c21398-4fba-469a-b94a-615e8ff5d0a2
46.0,1,0,11,0,0,0,42,0,0,4,0,10,0,0,0,0,12,0,13,32,46,2,cc1cd1d1-d848-4af7-8575-84bfbe2c6da7
54.0,1,0,0,0,0,0,15,0,0,0,0,11,0,0,2,0,18,0,25,12,14,0,94d3c239-bfa5-4df6-90a2-8c873343e4d9
45.0,1,0,6,0,0,7,30,9,15,0,0,59,0,6,0,0,0,16,12,0,19,4,083dbffc-5bb3-48b6-9e60-5583550e27d8
23.0,1,0,33,0,0,0,8,0,1,1,0,30,0,0,0,0,31,0,0,3,0,4,691c53e2-03cc-408b-8778-bc0b14f7a78c
42.0,1,0,0,0,0,0,4,0,7,0,30,6,0,0,0,18,16,0,18,41,8,2,58abd024-d21a-4ef8-88e1-2283d60bca82
53.0,0,0,0,0,0,0,31,0,0,0,0,16,0,8,0,12,2,0,0,44,49,1,d91e2ce7-4f15-41c8-b6e3-ed4fc4af7809
63.0,0,0,0,0,0,0,18,6,4,0,0,0,0,0,0,0,53,0,17,27,8,1,bcd8ef43-4b85-4ba2-ac7a-7e41ac864487
60.0,1,16,7,0,0,0,0,0,5,0,0,42,0,0,0,0,0,0,15,45,12,2,0347bfaf-cd0e-4f50-9a20-c5c21c57d1e3
57.0,0,0,0,0,0,0,21,0,0,10,0,0,0,0,0,17,60,20,0,5,0,1,e002d4bc-5756-40e9-944b-5fa477cb5efb
18.0,0,0,0,0,0,0,7,0,0,0,0,11,0,7,0,0,39,12,0,41,23,3,760ba807-65a6-4cce-92bd-1c22153162af
20.0,0,0,0,0,0,10,0,0,2,15,0,18,0,0,0,0,48,0,34,0,18,3,e0da9545-3d8a-4fca-a0fe-bee1295b6f47
65.0,0,0,15,0,0,0,13,0,0,0,0,0,0,0,0,10,43,0,5,67,0,1,37bd421c-a6a6-4b55-8d0b-f67d95933dd5
51.0,1,18,7,0,0,0,0,0,0,0,0,15,0,0,0,0,40,0,0,31,11,0,42f7fdb4-538e-476a-b35f-89833011df57
38.0,0,0,45,0,0,0,10,6,0,13,0,17,0,0,0,45,21,9,0,7,0,3,d50f5a51-60b3-4e65-ad16-f7f80bac52e2
19.0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,54,0,0,39,6,3,6b775797-d21d-4cc2-a7cf-3ec9755ad60e
47.0,1,0,28,0,0,0,0,36,0,0,0,1,0,0,0,6,24,0,0,33,0,2,277d3d80-2e89-411a-b9a9-d287751c4698
29.0,1,0,0,0,0,0,7,28,35,7,0,8,0,0,0,0,0,0,48,15,16,4,82197e2d-9a21-45cf-b347-054872df6d8e
52.0,1,17,17,0,0,0,0,0,0,14,0,0,0,0,0,0,26,0,2,27,0,2,76870247-bf5b-4ab6-870e-7f758336aab7
30.0,0,0,0,0,15,0,17,13,0,0,0,45,0,28,0,0,14,0,12,16,5,3,486cef16-e4a3-418d-a976-64cdd7d4e37b
35.0,1,0,18,0,0,1,8,0,0,0,0,21,0,0,0,0,15,0,0,20,0,4,8d6b6e8e-0e14-4082-9269-49b3c083a389
64.0,0,0,63,0,0,8,5,0,0,4,0,0,0,0,0,0,19,0,10,5,8,1,df2448e0-4886-43e9-9734-ca11b5017f4c
52.0,0,0,0,0,0,0,2,17,0,16,0,40,0,0,0,0,7,0,10,45,8,1,2c01c71e-63af-4cd4-beea-6812ee883418
35.0,1,0,19,0,0,0,11,0,19,5,15,4,0,0,0,0,25,0,28,21,0,4,3e8f98ef-899a-4b63-bdee-8d674f922df7
25.0,0,0,9,0,0,0,0,1,0,29,0,4,0,0,0,0,18,1,9,36,0,3,3f4741d6-3e5e-4675-8229-0b60e4961dbd
31.0,0,0,0,0,0,0,7,0,2,19,0,15,0,0,0,0,25,0,0,42,10,3,fbeb6391-3e16-41a2-b641-8ee61759081c
29.0,0,0,0,0,0,0,51,14,0,0,0,19,0,0,0,0,30,7,0,25,0,3,2dd6eeb1-9bcb-4408-9937-f76e8348259c
60.0,0,0,0,0,0,0,0,0,16,0,0,29,49,0,0,0,11,0,5,27,6,1,0eaa709d-679e-4924-8f0b-1232dcab6440
20.0,1,0,16,0,0,0,0,2,16,13,8,1,0,3,0,0,3,15,4,46,0,2,0c8d67bc-5983-4b8f-a8f9-8ee3c6c15f70
31.0,1,0,16,0,0,0,5,17,0,0,0,12,0,0,0,0,12,0,45,26,1,4,3a67c1a5-8a04-42c9-a0f0-46da01b3bd96
53.0,0,0,0,0,0,0,1,0,0,19,0,12,0,5,0,5,69,17,13,23,0,1,eafa485f-d217-46b8-b0e2-9d7af9867a5f
32.0,1,0,11,0,0,0,2,0,14,0,0,9,0,29,0,0,39,0,25,2,0,4,9f6f58e9-3ef2-415d-99d8-475d6a055485
49.0,1,0,23,0,0,0,4,0,0,0,0,11,0,0,0,0,15,0,42,25,42,4,1a1c7aac-f34f-4271-a1b9-893c2b3954c4
50.0,1,0,12,0,0,0,21,48,0,0,0,0,0,0,18,11,9,4,0,13,3,4,0a7cb631-3e44-4cfa-9581-d564a6f1ca02
20.0,0,0,5,0,0,0,0,9,0,0,0,36,0,17,0,0,2,0,20,28,0,3,5663295e-9907-4ece-9938-ebe958ef2258
19.0,0,0,45,0,0,10,25,0,0,0,18,10,0,0,0,5,4,7,1,26,2,3,74f34122-4999-4ab6-b38c-84fa91b892dc
18.0,0,0,13,0,0,0,41,3,0,0,0,13,11,0,0,4,15,0,0,2,24,3,fa739511-3b69-4a3b-b4d0-9e15cad0495a
47.0,1,0,37,0,0,0,0,0,0,0,0,11,0,8,0,18,0,0,7,7,63,4,4d0925d3-d820-4d78-8fee-dfa36d95dc76
46.0,1,0,17,0,0,9,11,0,0,0,0,0,0,0,0,6,55,0,5,26,1,4,f6e9de8b-a5b1-4a0d-9979-7d523e720fa5
40.0,1,0,0,0,0,0,0,0,0,11,0,47,0,0,0,8,0,19,7,42,16,2,1555b824-b6d4-4ae4-86c6-1b48c8fc65d1
67.0,0,0,0,0,0,0,19,2,0,0,0,19,0,0,0,0,20,0,13,51,17,1,7589facc-5133-42be-a96b-87d235f24b8b
38.0,1,0,19,0,0,0,10,2,0,0,0,17,0,0,0,0,40,0,0,14,41,4,593d78ce-e34a-48d5-b39f-362b46b4221a
38.0,1,0,0,0,0,0,10,10,0,0,0,0,0,0,0,20,96,0,0,13,11,4,001373b1-dec5-4b3e-9dba-8037e3adfc07
31.0,1,0,11,0,0,0,0,0,0,0,0,29,0,5,0,8,25,0,4,40,0,4,de965409-22ee-480d-9d2a-a5578de61765
28.0,0,0,0,0,0,0,17,9,0,0,0,26,0,0,0,0,50,0,26,10,10,3,344705d0-8450-4b53-88dc-9c04040471d1
44.0,1,0,8,0,0,0,0,12,0,24,0,18,0,0,0,0,3,0,44,21,36,4,b3906669-1326-42d1-b951-e4c179ca1bd8
30.0,1,0,31,0,0,0,3,7,7,0,0,0,0,0,0,0,0,0,7,11,46,4,b10549bf-4786-4e9b-a4a3-64be7c65f31b
36.0,1,0,13,0,0,0,0,0,6,0,0,2,0,0,0,5,18,11,6,60,17,2,9c7dbf2d-7ec8-489c-bdc9-d60e5f7c2f22
46.0,0,0,0,0,0,0,23,0,17,0,0,2,0,0,0,0,9,1,16,32,30,3,edef6026-32d6-4d91-b352-62b1ec7bab53
33.0,0,0,54,0,0,0,20,0,0,0,0,11,0,0,0,0,9,0,15,26,46,3,b9536150-57fe-4b88-b5ea-ce9d07741998
20.0,1,0,0,0,9,0,15,10,11,0,0,36,0,16,0,0,33,0,0,35,0,4,196ba544-9bc2-443e-8d5f-eeb22f0736e2
35.0,0,11,33,12,0,0,8,0,0,7,0,25,0,0,0,0,17,0,12,27,0,3,41febab4-0d11-4e68-9ef2-cab3e708ffba
53.0,0,0,12,0,0,0,15,0,0,0,0,14,0,0,0,0,33,0,40,17,5,1,e043dbc5-5dfc-4a0d-8230-36d9a407005e
30.0,1,0,10,0,0,28,8,0,13,0,0,0,0,0,0,0,27,7,13,38,0,4,6523cfa9-2c49-47c7-8aa1-57e44a088e71
50.0,1,0,0,0,0,0,0,0,0,19,4,19,0,0,0,0,16,0,45,21,10,4,c5873f72-5d2f-43c7-8bc2-b36201faf249
51.0,1,0,35,0,0,0,0,24,0,0,0,15,0,0,10,0,44,0,0,17,32,0,a004c213-41e3-4b88-9388-b452ea70208a
43.0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,32,9,23,93,17,2,1b6a0ca6-b25f-42c6-a513-0b2c78d076c4
45.0,1,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,59,12,0,4,6dde20ef-e6d5-4f51-9a2e-6083156e9026
22.0,1,0,24,0,0,0,0,0,0,15,0,10,0,0,0,46,20,0,10,24,4,4,911defda-c71b-4b58-9e14-ff8f10ab7ee1
27.0,1,0,5,0,0,0,0,7,0,0,0,1,0,0,0,0,10,9,7,13,33,4,27c022e9-733b-4454-a388-d030b6816de2
66.0,0,0,14,0,0,2,18,0,0,0,0,0,0,0,0,0,10,0,41,45,22,1,7639215a-640e-4961-a995-4f33afe25ce7
19.0,0,0,30,0,0,0,0,0,0,0,0,9,0,0,0,0,13,0,1,40,2,3,ef60bdaf-33b4-42a0-a711-6cbc41c30b4d
38.0,0,0,20,0,0,0,0,11,0,0,11,8,0,0,0,4,24,0,9,16,11,3,170e60fd-8fb0-4107-bdbb-f1cd3ebf928a
57.0,1,0,11,0,0,0,18,0,0,0,0,28,0,0,0,18,19,11,0,29,18,0,b87040dd-cf58-499c-b66b-68e31371b617
67.0,1,0,24,0,0,0,3,0,0,18,0,0,0,0,0,29,14,0,17,25,48,0,4dc18b36-250f-4317-8da2-f931c99d2ea8
31.0,1,0,0,0,0,0,14,0,2,0,0,0,0,0,11,0,53,0,9,21,16,4,85d2983a-13e3-41de-aefc-763e2a487bfc
43.0,1,0,38,0,0,0,0,0,0,0,0,36,0,4,0,0,52,0,18,0,19,4,8c7dac16-e017-493c-9a2a-7d6e72bda756
68.0,1,0,0,0,16,0,11,25,2,12,0,0,0,0,0,0,19,4,12,47,7,2,a85aa5b3-6f3d-436e-8a14-dd7054dc81ce
59.0,0,0,5,0,0,0,15,0,0,8,0,10,0,0,0,18,6,7,0,11,0,1,7686d19f-5635-4013-990a-52ef4e827fc2
26.0,0,0,0,0,0,0,0,0,0,9,0,0,0,28,0,17,20,0,19,37,35,3,718d755c-c24a-48d9-a29f-15c0b6069fff
67.0,0,0,0,0,0,0,11,16,0,0,0,1,0,0,0,0,35,0,3,25,30,1,09d2f953-67cf-468c-9bc6-0f89806d8c88
55.0,1,0,9,0,0,15,0,9,0,0,0,9,0,0,0,18,98,0,0,16,0,0,d5e0958c-2711-44ba-9876-af4868bfed41
48.0,0,0,5,0,0,16,61,0,0,8,0,2,0,0,0,0,14,0,6,9,48,3,156e5b25-1dc4-4a94-8be8-12b0fbdb079d
47.0,1,0,0,0,0,0,33,0,16,0,0,18,0,0,0,2,5,0,3,19,33,4,1159ff12-1163-4992-87b9-07c60e4b62bf
49.0,0,0,36,0,0,0,0,0,0,0,0,5,0,0,0,0,37,0,20,22,7,3,7933cecf-ffe6-4abe-bed3-e071c3b17c02
54.0,0,0,42,0,8,17,30,0,0,0,0,3,0,0,0,0,30,10,0,26,0,1,4f3de94b-553b-4e75-abdb-32891b0e5bb7
18.0,1,0,0,0,0,14,0,0,0,0,0,24,0,0,0,1,36,0,0,29,34,4,ee86e132-fca9-4447-b129-08942b6c4f6f
63.0,1,0,6,0,0,0,0,0,0,19,0,2,11,0,0,0,42,0,0,38,18,0,d533b1da-131b-4ab9-86ac-06aacc56631c
23.0,1,0,17,0,0,5,0,20,0,0,0,19,0,0,0,0,10,0,4,15,2,4,01a94e27-eb9f-4b94-9e64-3ebc915aa3b9
40.0,0,0,9,0,0,0,28,0,0,0,0,0,0,0,0,2,42,31,0,42,8,3,14f92c08-0ec5-41e2-93b6-9c1959e8d0b1
25.0,1,0,0,0,0,17,0,9,0,0,0,3,0,15,0,0,18,0,5,48,25,4,4ab326d8-40a7-49cd-8326-d41612d8542e
44.0,1,0,0,0,0,0,4,20,47,0,9,0,0,0,0,7,18,0,0,35,18,2,83c3c87d-8b95-43bb-9ac7-42dd36857a47
25.0,0,0,7,0,0,0,0,9,0,0,0,0,0,2,0,0,46,0,0,19,17,3,a7c63bce-0e4a-4ed9-9c51-321a1c7bf59b
34.0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,46,32,0,6,14,15,3,c0eab7e4-347e-4c70-9b70-a07e5806c0b4
27.0,1,0,35,0,1,8,0,4,14,0,0,49,0,31,0,0,0,0,19,0,0,4,94e200ee-66c5-4c5b-bc95-043b47f8a69c
56.0,1,0,0,0,0,0,0,19,0,35,0,0,0,0,0,0,16,1,8,14,25,0,42473009-c2e0-4687-9953-d1d1eccfd92c
32.0,0,0,21,0,0,0,19,2,0,0,0,27,0,0,0,2,25,0,0,22,15,3,b47775e9-591a-468a-8b2e-b4df61cab7a7
40.0,0,0,18,0,0,5,18,0,4,0,0,10,0,0,0,0,0,0,13,22,21,3,62ffe837-0150-48c5-b750-75473ed1fe55
28.0,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0,32,0,3,10,57,13,3,d78d027e-6d46-49da-ab96-69d381d1b257
36.0,0,0,29,0,0,18,3,10,0,0,0,12,0,0,0,0,23,0,0,10,16,3,e83b7ebe-56b2-4388-83c5-0e1312eed050
36.0,0,0,37,0,0,6,0,4,8,38,0,0,0,0,0,0,32,0,0,16,21,3,e293071f-1cae-4465-aac1-7a34f2f19093
29.0,1,0,0,0,0,0,0,24,12,29,0,0,0,0,0,12,18,0,12,15,17,4,4f19aa5e-4f45-41f5-966e-86bbd7c9dabc
41.0,1,13,0,0,0,0,9,0,0,48,0,4,0,0,0,0,16,0,0,37,24,2,e765d8ae-c4e9-49d6-889f-1d689ca4e15c
70.0,0,0,5,0,0,0,10,10,17,0,0,9,0,11,0,0,11,14,29,5,0,1,325414c4-4c6b-4304-b821-04a76f229f57
23.0,1,0,6,0,0,0,16,0,0,0,0,0,0,7,0,0,44,10,17,13,0,4,744d05eb-aca5-4645-bf83-fdc0f989f0b8
20.0,1,0,0,0,0,0,35,0,0,0,0,0,0,0,0,18,41,0,2,30,3,4,4501e2eb-a3eb-4b9c-aea6-72f1d0287ab2
23.0,1,0,30,0,0,5,0,6,0,0,16,1,0,0,0,0,77,0,0,19,0,4,deb91908-64d8-4089-9d64-61c0cf4eeee6
19.0,0,0,16,0,0,0,44,17,0,0,0,13,0,0,0,0,29,0,13,19,18,3,f111ca68-e855-4857-91ba-0a05c8b075da
32.0,1,0,7,0,6,0,0,3,9,16,0,3,0,0,0,18,0,15,19,0,12,4,232a05c6-5e34-41dc-a8fa-447ca1161e02
30.0,1,0,0,0,0,0,10,0,5,0,0,13,0,0,0,0,43,0,7,43,0,4,3b55642c-6ce4-4eb2-8297-b0249633a1f0
70.0,0,0,10,0,27,0,2,0,0,0,0,13,0,0,0,0,8,0,0,25,15,1,56d9affb-9e62-4f2f-a06f-0e1e6025f98a
45.0,1,0,0,0,14,0,16,0,0,0,4,31,0,0,0,0,49,0,0,51,0,2,cee64d7d-dd8a-4364-9e68-8d6fed022b20
40.0,0,0,0,0,0,13,0,11,0,0,0,54,0,4,0,0,0,8,9,23,9,3,b58f851f-7a8d-4f9e-852f-f1fb3def8449
