age,gender,user_id,eye_cream,exfoliator,peptide,cleansing_oil,sun_cream,cream,cleanser,face_mask,sunscreen,bath_salts,body_wash,ha,mask,toner,mist,body_lotion,gel,moisturizer,hair,serum
21,Male,af797c34-59f5-4356-863f-dffad55734ef,0,0,0,0,0,0,6,0,0,0,18,0,0,0,0,27,0,19,57,13
20,Female,468eb684-5e3f-49df-accb-2cc58854416d,0,19,0,15,0,35,0,0,0,0,31,0,9,0,0,16,0,0,18,0
65,Female,c2c14a4c-21fe-4584-a8d9-8176ffc8aa1f,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,40,21,34,9,28
24,Male,e2e8c800-76ef-4887-8cd3-2787101ae519,0,18,0,0,0,14,9,0,0,0,7,10,0,0,0,10,8,3,14,20
48,Male,31797431-8652-4adf-943a-5f15fb6c4e8b,0,8,0,0,0,15,17,0,0,0,0,3,12,0,23,19,0,8,38,1
31,Female,f69e45ba-de1c-47af-94da-f3df4fc5f251,0,23,0,0,0,4,18,19,3,0,5,0,0,0,14,9,0,0,44,0
49,Female,af663fec-4bfe-4c19-8bcb-dd6b64fc0201,0,3,0,0,0,16,0,0,0,0,42,1,18,0,0,18,0,16,4,0
24,Female,5de97ebe-c172-40e0-bbef-11f23260cfe8,0,0,0,0,0,0,0,0,0,43,17,0,0,0,0,13,0,22,24,23
50,Female,1b61c6c3-d2a3-4148-9abe-3d634169cbd7,0,15,0,0,0,0,35,0,0,0,13,0,0,0,0,27,14,11,26,36
27,Female,0c035564-3de6-45a2-867a-883258e3096b,0,19,0,0,0,0,18,0,19,0,7,0,0,0,8,35,0,0,44,0
29,Female,d10ece89-0c86-4c10-9454-20eacdd6cd4f,0,44,0,0,0,14,0,0,0,0,2,0,9,0,0,33,17,3,18,30
31,Female,1c3fab09-7d80-4a70-b41b-a4bf9c0e94ff,43,12,0,0,0,6,18,0,0,0,8,0,0,0,0,14,11,0,38,0
33,Male,3bd5cc09-adca-4f4b-96c1-f2c8ecbf956f,0,17,0,0,14,0,0,0,12,0,46,0,0,0,6,0,0,4,37,0
49,Female,c445a37a-2470-45e0-8a2e-890de70ba725,0,0,0,0,0,0,9,15,0,0,41,7,0,0,0,0,0,54,15,5
31,Female,e4d56ff2-fe59-4b5c-a284-b4b2100632ad,0,0,0,0,0,0,3,0,0,0,21,0,0,0,19,39,0,0,16,37
59,Male,093ad7bf-b1fd-4f09-80a6-4f49d764cf55,0,0,0,0,0,0,5,0,0,0,25,0,0,0,0,21,29,16,19,32
50,Female,e8ea6341-0d63-4f0e-90e4-803b04a882f2,0,1,0,0,0,18,10,0,0,0,8,0,0,0,0,42,0,51,13,18
47,Male,9e148877-8bab-4835-bc0b-af16ce5e69e4,0,15,0,0,0,14,0,30,0,0,0,0,0,0,11,62,0,19,22,0
35,Female,cf29b40c-9741-47d6-a781-6d451d40bfc2,0,12,0,0,0,8,0,0,0,9,32,0,0,0,11,66,0,5,5,0
51,Female,aa455ecf-5f8c-4523-8c19-31953911e11b,0,0,0,0,4,21,0,0,0,0,0,0,0,0,16,42,0,3,15,17
69,Male,95041d6d-7b33-41c7-8b98-577efce0b5ca,13,20,0,0,0,0,0,8,0,0,0,0,1,0,0,14,0,15,23,7
64,Male,406814c4-0655-416f-9a72-6e3250079b18,0,0,0,0,17,0,0,3,0,0,0,0,0,0,0,34,0,49,7,37
22,Female,88b027ee-0985-436f-a45e-363c550be258,0,0,0,0,0,3,0,0,0,0,43,11,16,0,8,30,0,17,20,0
27,Female,d51f6470-6998-407b-8c15-d5d12ff1bf3f,0,33,0,0,14,26,0,0,0,0,0,0,0,0,0,88,0,1,29,0
54,Female,23389117-15eb-4439-813b-3d4b96cf8bfc,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,43,18,18,31,0
60,Female,478d1674-1296-4c14-9975-d4b6c264d353,0,28,0,0,0,16,0,0,0,0,0,0,0,0,0,10,0,18,79,15
21,Female,a4930b22-a381-4dcf-a3df-49174ca4bde9,0,0,0,2,0,19,0,0,0,0,33,15,14,0,0,36,14,0,0,19
32,Female,fd219633-e987-440d-9efe-2b702def767c,0,0,0,0,0,17,0,0,0,0,15,0,12,0,0,61,0,0,12,0
21,Female,99014144-ae5d-4947-88a6-d44a8aa8381b,0,8,0,0,0,0,0,7,0,0,31,0,0,0,42,14,9,26,33,0
19,Female,6d6d3484-dfe3-4137-b1a2-87871ae76605,0,20,0,0,0,0,0,0,11,15,16,0,0,0,10,48,16,0,6,15
43,Male,018f4dfc-c6e4-4b24-99da-9e3519f6be84,0,27,0,0,0,0,0,0,0,0,11,0,0,0,8,20,0,20,73,0
32,Male,35c170c0-2e9f-4f34-9ef8-cbb43cd02271,0,28,0,0,0,18,0,0,16,0,9,0,10,0,0,16,0,46,25,14
48,Male,5dd26bc8-7e64-477c-a13b-a767201c6092,0,30,0,0,0,0,0,0,0,0,29,0,17,0,0,15,0,21,29,0
37,Male,cd69bbf1-8341-48ab-af29-2431d160cb4b,0,0,0,0,0,0,0,0,9,0,24,0,3,0,0,2,19,4,43,18
19,Male,a4b6401f-ef84-4d15-b300-55411073cbcb,0,9,0,0,0,6,0,18,0,0,0,0,0,7,0,5,19,10,65,0
30,Female,5bb3c22b-ce8e-4bda-9796-caeed6718c88,0,28,0,0,0,15,0,18,0,0,0,0,9,0,0,1,0,0,99,1
54,Female,eaece648-8baf-46a7-a91c-1d74185c1d34,0,10,0,0,0,32,0,0,0,0,32,0,17,0,21,16,0,12,24,16
45,Female,274bf11c-5e78-4652-bfac-2da04f2fb88d,0,16,0,0,0,4,0,7,0,3,19,0,0,0,3,0,0,0,54,13
67,Male,fcc12de8-f997-41ea-be8e-d52e4d8ab399,0,0,0,0,13,0,20,0,0,0,19,0,0,0,9,0,19,0,15,42
35,Female,dab7574a-19e3-48a4-9e1b-c819b1aedaaf,0,0,0,0,0,0,0,0,0,0,37,14,8,17,18,0,0,11,17,19
58,Female,e0c3968c-8cff-4722-912b-2efc5dce4203,0,4,0,0,0,12,0,19,0,0,0,0,0,0,0,7,0,13,58,13
24,Female,eb1dfe5d-135d-4067-80d5-08e07bdbd275,0,13,0,0,26,0,0,19,0,0,4,0,2,0,0,36,0,0,58,5
37,Male,f7cc59e2-959f-4ebd-bb8d-6628dbd7ad6e,0,17,0,0,0,19,24,0,0,0,25,0,0,0,0,46,0,2,2,0
22,Male,b0ba3b3a-051c-463f-8929-76c7d226e362,0,16,0,0,0,0,12,0,0,0,49,0,0,0,0,22,0,12,0,42
35,Female,178d4bf1-f4ce-4e3c-8c69-a354ff333bf7,0,11,0,0,0,16,8,0,0,0,21,11,11,0,0,51,0,24,0,23
20,Male,63d7dff6-68e6-4854-b37c-c8ee59e475fa,0,19,0,0,0,0,0,0,2,19,0,0,16,0,0,30,0,0,66,1
35,Male,46c21398-4fba-469a-b94a-615e8ff5d0a2,0,10,0,6,16,14,3,0,0,0,0,0,0,0,6,0,0,26,56,4
46,Female,cc1cd1d1-d848-4af7-8575-84bfbe2c6da7,0,11,0,0,0,42,0,0,4,0,10,0,0,0,0,12,0,13,32,46
54,Female,94d3c239-bfa5-4df6-90a2-8c873343e4d9,0,0,0,0,0,15,0,0,0,0,11,0,0,2,0,18,0,25,12,14
45,Female,083dbffc-5bb3-48b6-9e60-5583550e27d8,0,6,0,0,7,30,9,15,0,0,59,0,6,0,0,0,16,12,0,19
23,Female,691c53e2-03cc-408b-8778-bc0b14f7a78c,0,33,0,0,0,8,0,1,1,0,30,0,0,0,0,31,0,0,3,0
42,Female,58abd024-d21a-4ef8-88e1-2283d60bca82,0,0,0,0,0,4,0,7,0,30,6,0,0,0,18,16,0,18,41,8
53,Male,d91e2ce7-4f15-41c8-b6e3-ed4fc4af7809,0,0,0,0,0,31,0,0,0,0,16,0,8,0,12,2,0,0,44,49
63,Male,bcd8ef43-4b85-4ba2-ac7a-7e41ac864487,0,0,0,0,0,18,6,4,0,0,0,0,0,0,0,53,0,17,27,8
60,Female,0347bfaf-cd0e-4f50-9a20-c5c21c57d1e3,16,7,0,0,0,0,0,5,0,0,42,0,0,0,0,0,0,15,45,12
57,Male,e002d4bc-5756-40e9-944b-5fa477cb5efb,0,0,0,0,0,21,0,0,10,0,0,0,0,0,17,60,20,0,5,0
18,Male,760ba807-65a6-4cce-92bd-1c22153162af,0,0,0,0,0,7,0,0,0,0,11,0,7,0,0,39,12,0,41,23
20,Male,e0da9545-3d8a-4fca-a0fe-bee1295b6f47,0,0,0,0,10,0,0,2,15,0,18,0,0,0,0,48,0,34,0,18
65,Male,37bd421c-a6a6-4b55-8d0b-f67d95933dd5,0,15,0,0,0,13,0,0,0,0,0,0,0,0,10,43,0,5,67,0
51,Female,42f7fdb4-538e-476a-b35f-89833011df57,18,7,0,0,0,0,0,0,0,0,15,0,0,0,0,40,0,0,31,11
38,Male,d50f5a51-60b3-4e65-ad16-f7f80bac52e2,0,45,0,0,0,10,6,0,13,0,17,0,0,0,45,21,9,0,7,0
19,Male,6b775797-d21d-4cc2-a7cf-3ec9755ad60e,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,54,0,0,39,6
47,Female,277d3d80-2e89-411a-b9a9-d287751c4698,0,28,0,0,0,0,36,0,0,0,1,0,0,0,6,24,0,0,33,0
29,Female,82197e2d-9a21-45cf-b347-054872df6d8e,0,0,0,0,0,7,28,35,7,0,8,0,0,0,0,0,0,48,15,16
52,Female,76870247-bf5b-4ab6-870e-7f758336aab7,17,17,0,0,0,0,0,0,14,0,0,0,0,0,0,26,0,2,27,0
30,Male,486cef16-e4a3-418d-a976-64cdd7d4e37b,0,0,0,15,0,17,13,0,0,0,45,0,28,0,0,14,0,12,16,5
35,Female,8d6b6e8e-0e14-4082-9269-49b3c083a389,0,18,0,0,1,8,0,0,0,0,21,0,0,0,0,15,0,0,20,0
64,Male,df2448e0-4886-43e9-9734-ca11b5017f4c,0,63,0,0,8,5,0,0,4,0,0,0,0,0,0,19,0,10,5,8
52,Male,2c01c71e-63af-4cd4-beea-6812ee883418,0,0,0,0,0,2,17,0,16,0,40,0,0,0,0,7,0,10,45,8
35,Female,3e8f98ef-899a-4b63-bdee-8d674f922df7,0,19,0,0,0,11,0,19,5,15,4,0,0,0,0,25,0,28,21,0
25,Male,3f4741d6-3e5e-4675-8229-0b60e4961dbd,0,9,0,0,0,0,1,0,29,0,4,0,0,0,0,18,1,9,36,0
31,Male,fbeb6391-3e16-41a2-b641-8ee61759081c,0,0,0,0,0,7,0,2,19,0,15,0,0,0,0,25,0,0,42,10
29,Male,2dd6eeb1-9bcb-4408-9937-f76e8348259c,0,0,0,0,0,51,14,0,0,0,19,0,0,0,0,30,7,0,25,0
60,Male,0eaa709d-679e-4924-8f0b-1232dcab6440,0,0,0,0,0,0,0,16,0,0,29,49,0,0,0,11,0,5,27,6
20,Female,0c8d67bc-5983-4b8f-a8f9-8ee3c6c15f70,0,16,0,0,0,0,2,16,13,8,1,0,3,0,0,3,15,4,46,0
31,Female,3a67c1a5-8a04-42c9-a0f0-46da01b3bd96,0,16,0,0,0,5,17,0,0,0,12,0,0,0,0,12,0,45,26,1
53,Male,eafa485f-d217-46b8-b0e2-9d7af9867a5f,0,0,0,0,0,1,0,0,19,0,12,0,5,0,5,69,17,13,23,0
32,Female,9f6f58e9-3ef2-415d-99d8-475d6a055485,0,11,0,0,0,2,0,14,0,0,9,0,29,0,0,39,0,25,2,0
49,Female,1a1c7aac-f34f-4271-a1b9-893c2b3954c4,0,23,0,0,0,4,0,0,0,0,11,0,0,0,0,15,0,42,25,42
50,Female,0a7cb631-3e44-4cfa-9581-d564a6f1ca02,0,12,0,0,0,21,48,0,0,0,0,0,0,18,11,9,4,0,13,3
20,Male,5663295e-9907-4ece-9938-ebe958ef2258,0,5,0,0,0,0,9,0,0,0,36,0,17,0,0,2,0,20,28,0
19,Male,74f34122-4999-4ab6-b38c-84fa91b892dc,0,45,0,0,10,25,0,0,0,18,10,0,0,0,5,4,7,1,26,2
18,Male,fa739511-3b69-4a3b-b4d0-9e15cad0495a,0,13,0,0,0,41,3,0,0,0,13,11,0,0,4,15,0,0,2,24
47,Female,4d0925d3-d820-4d78-8fee-dfa36d95dc76,0,37,0,0,0,0,0,0,0,0,11,0,8,0,18,0,0,7,7,63
46,Female,f6e9de8b-a5b1-4a0d-9979-7d523e720fa5,0,17,0,0,9,11,0,0,0,0,0,0,0,0,6,55,0,5,26,1
40,Female,1555b824-b6d4-4ae4-86c6-1b48c8fc65d1,0,0,0,0,0,0,0,0,11,0,47,0,0,0,8,0,19,7,42,16
67,Male,7589facc-5133-42be-a96b-87d235f24b8b,0,0,0,0,0,19,2,0,0,0,19,0,0,0,0,20,0,13,51,17
38,Female,593d78ce-e34a-48d5-b39f-362b46b4221a,0,19,0,0,0,10,2,0,0,0,17,0,0,0,0,40,0,0,14,41
38,Female,001373b1-dec5-4b3e-9dba-8037e3adfc07,0,0,0,0,0,10,10,0,0,0,0,0,0,0,20,96,0,0,13,11
31,Female,de965409-22ee-480d-9d2a-a5578de61765,0,11,0,0,0,0,0,0,0,0,29,0,5,0,8,25,0,4,40,0
28,Male,344705d0-8450-4b53-88dc-9c04040471d1,0,0,0,0,0,17,9,0,0,0,26,0,0,0,0,50,0,26,10,10
44,Female,b3906669-1326-42d1-b951-e4c179ca1bd8,0,8,0,0,0,0,12,0,24,0,18,0,0,0,0,3,0,44,21,36
30,Female,b10549bf-4786-4e9b-a4a3-64be7c65f31b,0,31,0,0,0,3,7,7,0,0,0,0,0,0,0,0,0,7,11,46
36,Female,9c7dbf2d-7ec8-489c-bdc9-d60e5f7c2f22,0,13,0,0,0,0,0,6,0,0,2,0,0,0,5,18,11,6,60,17
46,Male,edef6026-32d6-4d91-b352-62b1ec7bab53,0,0,0,0,0,23,0,17,0,0,2,0,0,0,0,9,1,16,32,30
33,Male,b9536150-57fe-4b88-b5ea-ce9d07741998,0,54,0,0,0,20,0,0,0,0,11,0,0,0,0,9,0,15,26,46
20,Female,196ba544-9bc2-443e-8d5f-eeb22f0736e2,0,0,0,9,0,15,10,11,0,0,36,0,16,0,0,33,0,0,35,0
35,Male,41febab4-0d11-4e68-9ef2-cab3e708ffba,11,33,12,0,0,8,0,0,7,0,25,0,0,0,0,17,0,12,27,0
53,Male,e043dbc5-5dfc-4a0d-8230-36d9a407005e,0,12,0,0,0,15,0,0,0,0,14,0,0,0,0,33,0,40,17,5
30,Female,6523cfa9-2c49-47c7-8aa1-57e44a088e71,0,10,0,0,28,8,0,13,0,0,0,0,0,0,0,27,7,13,38,0
50,Female,c5873f72-5d2f-43c7-8bc2-b36201faf249,0,0,0,0,0,0,0,0,19,4,19,0,0,0,0,16,0,45,21,10
51,Female,a004c213-41e3-4b88-9388-b452ea70208a,0,35,0,0,0,0,24,0,0,0,15,0,0,10,0,44,0,0,17,32
43,Female,1b6a0ca6-b25f-42c6-a513-0b2c78d076c4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,32,9,23,93,17
45,Female,6dde20ef-e6d5-4f51-9a2e-6083156e9026,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,59,12,0
22,Female,911defda-c71b-4b58-9e14-ff8f10ab7ee1,0,24,0,0,0,0,0,0,15,0,10,0,0,0,46,20,0,10,24,4
27,Female,27c022e9-733b-4454-a388-d030b6816de2,0,5,0,0,0,0,7,0,0,0,1,0,0,0,0,10,9,7,13,33
66,Male,7639215a-640e-4961-a995-4f33afe25ce7,0,14,0,0,2,18,0,0,0,0,0,0,0,0,0,10,0,41,45,22
19,Male,ef60bdaf-33b4-42a0-a711-6cbc41c30b4d,0,30,0,0,0,0,0,0,0,0,9,0,0,0,0,13,0,1,40,2
38,Male,170e60fd-8fb0-4107-bdbb-f1cd3ebf928a,0,20,0,0,0,0,11,0,0,11,8,0,0,0,4,24,0,9,16,11
57,Female,b87040dd-cf58-499c-b66b-68e31371b617,0,11,0,0,0,18,0,0,0,0,28,0,0,0,18,19,11,0,29,18
67,Female,4dc18b36-250f-4317-8da2-f931c99d2ea8,0,24,0,0,0,3,0,0,18,0,0,0,0,0,29,14,0,17,25,48
31,Female,85d2983a-13e3-41de-aefc-763e2a487bfc,0,0,0,0,0,14,0,2,0,0,0,0,0,11,0,53,0,9,21,16
43,Female,8c7dac16-e017-493c-9a2a-7d6e72bda756,0,38,0,0,0,0,0,0,0,0,36,0,4,0,0,52,0,18,0,19
68,Female,a85aa5b3-6f3d-436e-8a14-dd7054dc81ce,0,0,0,16,0,11,25,2,12,0,0,0,0,0,0,19,4,12,47,7
59,Male,7686d19f-5635-4013-990a-52ef4e827fc2,0,5,0,0,0,15,0,0,8,0,10,0,0,0,18,6,7,0,11,0
26,Male,718d755c-c24a-48d9-a29f-15c0b6069fff,0,0,0,0,0,0,0,0,9,0,0,0,28,0,17,20,0,19,37,35
67,Male,09d2f953-67cf-468c-9bc6-0f89806d8c88,0,0,0,0,0,11,16,0,0,0,1,0,0,0,0,35,0,3,25,30
55,Female,d5e0958c-2711-44ba-9876-af4868bfed41,0,9,0,0,15,0,9,0,0,0,9,0,0,0,18,98,0,0,16,0
48,Male,156e5b25-1dc4-4a94-8be8-12b0fbdb079d,0,5,0,0,16,61,0,0,8,0,2,0,0,0,0,14,0,6,9,48
47,Female,1159ff12-1163-4992-87b9-07c60e4b62bf,0,0,0,0,0,33,0,16,0,0,18,0,0,0,2,5,0,3,19,33
49,Male,7933cecf-ffe6-4abe-bed3-e071c3b17c02,0,36,0,0,0,0,0,0,0,0,5,0,0,0,0,37,0,20,22,7
54,Male,4f3de94b-553b-4e75-abdb-32891b0e5bb7,0,42,0,8,17,30,0,0,0,0,3,0,0,0,0,30,10,0,26,0
18,Female,ee86e132-fca9-4447-b129-08942b6c4f6f,0,0,0,0,14,0,0,0,0,0,24,0,0,0,1,36,0,0,29,34
63,Female,d533b1da-131b-4ab9-86ac-06aacc56631c,0,6,0,0,0,0,0,0,19,0,2,11,0,0,0,42,0,0,38,18
23,Female,01a94e27-eb9f-4b94-9e64-3ebc915aa3b9,0,17,0,0,5,0,20,0,0,0,19,0,0,0,0,10,0,4,15,2
40,Male,14f92c08-0ec5-41e2-93b6-9c1959e8d0b1,0,9,0,0,0,28,0,0,0,0,0,0,0,0,2,42,31,0,42,8
25,Female,4ab326d8-40a7-49cd-8326-d41612d8542e,0,0,0,0,17,0,9,0,0,0,3,0,15,0,0,18,0,5,48,25
44,Female,83c3c87d-8b95-43bb-9ac7-42dd36857a47,0,0,0,0,0,4,20,47,0,9,0,0,0,0,7,18,0,0,35,18
25,Male,a7c63bce-0e4a-4ed9-9c51-321a1c7bf59b,0,7,0,0,0,0,9,0,0,0,0,0,2,0,0,46,0,0,19,17
34,Male,c0eab7e4-347e-4c70-9b70-a07e5806c0b4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,46,32,0,6,14,15
27,Female,94e200ee-66c5-4c5b-bc95-043b47f8a69c,0,35,0,1,8,0,4,14,0,0,49,0,31,0,0,0,0,19,0,0
56,Female,42473009-c2e0-4687-9953-d1d1eccfd92c,0,0,0,0,0,0,19,0,35,0,0,0,0,0,0,16,1,8,14,25
32,Male,b47775e9-591a-468a-8b2e-b4df61cab7a7,0,21,0,0,0,19,2,0,0,0,27,0,0,0,2,25,0,0,22,15
40,Male,62ffe837-0150-48c5-b750-75473ed1fe55,0,18,0,0,5,18,0,4,0,0,10,0,0,0,0,0,0,13,22,21
28,Male,d78d027e-6d46-49da-ab96-69d381d1b257,0,0,0,0,3,0,0,0,0,0,14,0,0,0,32,0,3,10,57,13
36,Male,e83b7ebe-56b2-4388-83c5-0e1312eed050,0,29,0,0,18,3,10,0,0,0,12,0,0,0,0,23,0,0,10,16
36,Male,e293071f-1cae-4465-aac1-7a34f2f19093,0,37,0,0,6,0,4,8,38,0,0,0,0,0,0,32,0,0,16,21
29,Female,4f19aa5e-4f45-41f5-966e-86bbd7c9dabc,0,0,0,0,0,0,24,12,29,0,0,0,0,0,12,18,0,12,15,17
41,Female,e765d8ae-c4e9-49d6-889f-1d689ca4e15c,13,0,0,0,0,9,0,0,48,0,4,0,0,0,0,16,0,0,37,24
70,Male,325414c4-4c6b-4304-b821-04a76f229f57,0,5,0,0,0,10,10,17,0,0,9,0,11,0,0,11,14,29,5,0
23,Female,744d05eb-aca5-4645-bf83-fdc0f989f0b8,0,6,0,0,0,16,0,0,0,0,0,0,7,0,0,44,10,17,13,0
20,Female,4501e2eb-a3eb-4b9c-aea6-72f1d0287ab2,0,0,0,0,0,35,0,0,0,0,0,0,0,0,18,41,0,2,30,3
23,Female,deb91908-64d8-4089-9d64-61c0cf4eeee6,0,30,0,0,5,0,6,0,0,16,1,0,0,0,0,77,0,0,19,0
19,Male,f111ca68-e855-4857-91ba-0a05c8b075da,0,16,0,0,0,44,17,0,0,0,13,0,0,0,0,29,0,13,19,18
32,Female,232a05c6-5e34-41dc-a8fa-447ca1161e02,0,7,0,6,0,0,3,9,16,0,3,0,0,0,18,0,15,19,0,12
30,Female,3b55642c-6ce4-4eb2-8297-b0249633a1f0,0,0,0,0,0,10,0,5,0,0,13,0,0,0,0,43,0,7,43,0
70,Male,56d9affb-9e62-4f2f-a06f-0e1e6025f98a,0,10,0,27,0,2,0,0,0,0,13,0,0,0,0,8,0,0,25,15
45,Female,cee64d7d-dd8a-4364-9e68-8d6fed022b20,0,0,0,14,0,16,0,0,0,4,31,0,0,0,0,49,0,0,51,0
40,Male,b58f851f-7a8d-4f9e-852f-f1fb3def8449,0,0,0,0,13,0,11,0,0,0,54,0,4,0,0,0,8,9,23,9
49,Female,00c4fc4b-ffee-41eb-b199-ca8a86fc74a5,0,19,0,0,0,23,13,0,0,19,0,0,27,0,16,11,0,0,18,6
23,Female,8773a0d2-f6c8-411f-b1e3-7640a76ecf96,0,0,0,0,0,0,5,12,0,4,15,0,0,0,23,23,0,14,25,0
38,Male,4845333d-eae0-458e-9f1a-c3bf615a9ae2,0,11,0,0,0,0,11,0,0,0,5,0,0,0,0,7,14,3,109,3
48,Male,f1ee1afa-bc09-4827-a44c-e80933392be4,0,3,0,0,0,8,1,6,13,0,17,0,0,0,0,25,0,0,28,15
22,Female,846b1460-2bd5-43dd-a67b-1c5363744834,0,17,0,0,0,16,2,0,0,0,32,0,3,0,0,27,0,19,6,16
34,Female,bebcf795-cca7-49fe-a40d-a84caefc9706,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,54,36,0,65,0
50,Female,9f1b227b-7e89-4455-a166-5697f09506a8,0,17,0,0,0,23,12,0,0,0,18,0,6,0,0,0,1,0,22,23
68,Female,a1e0f4e1-25b5-44b5-978d-8d9f3314d5f8,0,18,0,12,0,6,0,3,0,0,19,0,0,0,0,26,0,18,0,14
